2019-06-26 08:28:36, com.zaxxer.hikari.HikariDataSource, INFO, Authorization - Starting...
2019-06-26 08:28:36, com.zaxxer.hikari.pool.PoolBase, INFO, Authorization - Driver does not support get/set network timeout for connections. (com.mysql.jdbc.JDBC4Connection.getNetworkTimeout()I)
2019-06-26 08:28:36, com.zaxxer.hikari.HikariDataSource, INFO, Authorization - Start completed.
2019-06-26 08:28:37, eu.arrowhead.common.Utility, INFO, Utility:getUri returning this: http://0.0.0.0:8444
2019-06-26 08:28:37, eu.arrowhead.common.ArrowheadMain, INFO, Started server at: http://0.0.0.0:8444
2019-06-26 08:28:37, eu.arrowhead.common.Utility, INFO, Utility:getUri returning this: http://0.0.0.0:8442/serviceregistry
2019-06-26 08:28:37, eu.arrowhead.common.Utility, INFO, Sending POST request to: http://0.0.0.0:8442/serviceregistry/register
2019-06-26 08:28:37, eu.arrowhead.common.Utility, ERROR, Request returned with DUPLICATE_ENTRY: There is already an entry in the database with these parameters. Please check the unique fields of the class eu.arrowhead.common.database.ServiceRegistryEntry
2019-06-26 08:28:37, eu.arrowhead.common.Utility, INFO, Sending PUT request to: http://0.0.0.0:8442/serviceregistry/remove
2019-06-26 08:28:37, eu.arrowhead.common.Utility, INFO, Sending POST request to: http://0.0.0.0:8442/serviceregistry/register
2019-06-26 08:28:37, eu.arrowhead.common.Utility, INFO, Sending POST request to: http://0.0.0.0:8442/serviceregistry/register
2019-06-26 08:28:37, eu.arrowhead.common.Utility, ERROR, Request returned with DUPLICATE_ENTRY: There is already an entry in the database with these parameters. Please check the unique fields of the class eu.arrowhead.common.database.ServiceRegistryEntry
2019-06-26 08:28:37, eu.arrowhead.common.Utility, INFO, Sending PUT request to: http://0.0.0.0:8442/serviceregistry/remove
2019-06-26 08:28:37, eu.arrowhead.common.Utility, INFO, Sending POST request to: http://0.0.0.0:8442/serviceregistry/register
2019-06-26 08:32:07, eu.arrowhead.core.authorization.AuthorizationResource, INFO, IntraCloud auth check for consumer client1 returns with 1 possible provider
2019-06-26 08:35:00, eu.arrowhead.common.Utility, INFO, Sending PUT request to: http://0.0.0.0:8442/serviceregistry/remove
2019-06-26 08:35:00, eu.arrowhead.common.Utility, INFO, Sending PUT request to: http://0.0.0.0:8442/serviceregistry/remove
2019-06-26 08:35:00, com.zaxxer.hikari.HikariDataSource, WARN, The shutdown() method has been deprecated, please use the close() method instead
2019-06-26 08:35:00, com.zaxxer.hikari.HikariDataSource, INFO, Authorization - Shutdown initiated...
2019-06-26 08:35:00, com.zaxxer.hikari.HikariDataSource, INFO, Authorization - Shutdown completed.
2019-06-26 08:35:00, eu.arrowhead.common.ArrowheadMain, INFO, Stopping server at: http://0.0.0.0:8444
