2019-06-26 08:30:28, eu.arrowhead.common.Utility, INFO, Utility:getUri returning this: http://0.0.0.0:8452
2019-06-26 08:30:28, eu.arrowhead.common.ArrowheadMain, INFO, Started server at: http://0.0.0.0:8452
2019-06-26 08:30:28, eu.arrowhead.common.Utility, INFO, Utility:getUri returning this: http://0.0.0.0:8442/serviceregistry
2019-06-26 08:30:28, eu.arrowhead.common.Utility, INFO, Sending POST request to: http://0.0.0.0:8442/serviceregistry/register
2019-06-26 08:30:29, eu.arrowhead.common.Utility, ERROR, Request returned with DUPLICATE_ENTRY: There is already an entry in the database with these parameters. Please check the unique fields of the class eu.arrowhead.common.database.ServiceRegistryEntry
2019-06-26 08:30:29, eu.arrowhead.common.Utility, INFO, Sending PUT request to: http://0.0.0.0:8442/serviceregistry/remove
2019-06-26 08:30:29, eu.arrowhead.common.Utility, INFO, Sending POST request to: http://0.0.0.0:8442/serviceregistry/register
2019-06-26 08:30:29, eu.arrowhead.common.Utility, INFO, Sending POST request to: http://0.0.0.0:8442/serviceregistry/register
2019-06-26 08:30:29, eu.arrowhead.common.Utility, ERROR, Request returned with DUPLICATE_ENTRY: There is already an entry in the database with these parameters. Please check the unique fields of the class eu.arrowhead.common.database.ServiceRegistryEntry
2019-06-26 08:30:29, eu.arrowhead.common.Utility, INFO, Sending PUT request to: http://0.0.0.0:8442/serviceregistry/remove
2019-06-26 08:30:29, eu.arrowhead.common.Utility, INFO, Sending POST request to: http://0.0.0.0:8442/serviceregistry/register
2019-06-26 08:30:29, eu.arrowhead.common.Utility, INFO, Sending POST request to: http://0.0.0.0:8442/serviceregistry/register
2019-06-26 08:30:29, eu.arrowhead.common.Utility, ERROR, Request returned with DUPLICATE_ENTRY: There is already an entry in the database with these parameters. Please check the unique fields of the class eu.arrowhead.common.database.ServiceRegistryEntry
2019-06-26 08:30:29, eu.arrowhead.common.Utility, INFO, Sending PUT request to: http://0.0.0.0:8442/serviceregistry/remove
2019-06-26 08:30:29, eu.arrowhead.common.Utility, INFO, Sending POST request to: http://0.0.0.0:8442/serviceregistry/register
2019-06-26 08:35:03, eu.arrowhead.common.Utility, INFO, Sending PUT request to: http://0.0.0.0:8442/serviceregistry/remove
2019-06-26 08:35:03, eu.arrowhead.common.Utility, INFO, Sending PUT request to: http://0.0.0.0:8442/serviceregistry/remove
2019-06-26 08:35:03, eu.arrowhead.common.Utility, INFO, Sending PUT request to: http://0.0.0.0:8442/serviceregistry/remove
2019-06-26 08:35:03, eu.arrowhead.common.ArrowheadMain, INFO, Stopping server at: http://0.0.0.0:8452
